Year,Month,State,County,Rate
2006,December,Michigan,Washtenaw County,4.5
2006,July,Michigan,Washtenaw County,5.6
2006,November,Michigan,Washtenaw County,4.3
2007,February,Michigan,Washtenaw County,4.7
2007,October,Michigan,Washtenaw County,4.6
2007,March,Michigan,Washtenaw County,4.6
2007,August,Michigan,Washtenaw County,5.1
2007,May,Michigan,Washtenaw County,4.8
2007,January,Michigan,Washtenaw County,5
2007,June,Michigan,Washtenaw County,5.3
2007,September,Michigan,Washtenaw County,5
2007,April,Michigan,Washtenaw County,4.4
2007,December,Michigan,Washtenaw County,4.9
2007,July,Michigan,Washtenaw County,5.8
2007,November,Michigan,Washtenaw County,4.5
2004,February,Michigan,Washtenaw County,4.2
2004,October,Michigan,Washtenaw County,3.8
2004,March,Michigan,Washtenaw County,4.6
2004,August,Michigan,Washtenaw County,4.1
2004,May,Michigan,Washtenaw County,4.5
2004,January,Michigan,Washtenaw County,4.2
2004,June,Michigan,Washtenaw County,5
2004,September,Michigan,Washtenaw County,4.1
2004,April,Michigan,Washtenaw County,3.7
2004,December,Michigan,Washtenaw County,4.2
2004,July,Michigan,Washtenaw County,5
2004,November,Michigan,Washtenaw County,4
2005,February,Michigan,Washtenaw County,4.6
2005,October,Michigan,Washtenaw County,3.9
2005,March,Michigan,Washtenaw County,4.5
2005,August,Michigan,Washtenaw County,4.3
2005,May,Michigan,Washtenaw County,4.7
2005,January,Michigan,Washtenaw County,4.5
2005,June,Michigan,Washtenaw County,4.8
2005,September,Michigan,Washtenaw County,4.5
2005,April,Michigan,Washtenaw County,4.3
2005,December,Michigan,Washtenaw County,4.2
2005,July,Michigan,Washtenaw County,5
2005,November,Michigan,Washtenaw County,4.2
2008,February,Michigan,Washtenaw County,4.7
2008,October,Michigan,Washtenaw County,5.6
2008,August,Michigan,Washtenaw County,6.2
2009,November,Michigan,Washtenaw County,8.1
